LHAPDF set=                    PDF4LHC21_40
 40
  1  0.1000  0.7055
  2 -0.2290  0.6928
  3  0.0914  0.9824
  4 -0.3099  0.9158
  5  0.0850  0.9849
  6 -0.1068  0.8468
  7  0.0251  0.9825
  8  0.1223  0.9178
  9 -0.0294  0.7527
 10  0.1705  0.9758
 11  0.0766  0.9756
 12 -0.3126  0.9544
 13 -0.1264  0.8599
 14  0.1866  0.9623
 15  0.0501  0.9762
 16 -0.2712  0.7766
 17  0.0665  0.9117
 18 -0.0182  0.9444
 19 -0.0747  0.9197
 20  0.0022  0.9847
 21 -0.2299  0.9278
 22 -0.0711  0.9802
 23 -0.0057  0.9805
 24 -0.1660  0.9440
 25  0.1658  0.8674
 26 -0.2647  0.9184
 27  0.1075  0.9357
 28  0.0419  0.8186
 29  0.3636  0.7765
 30 -0.0625  0.9738
 31  0.0905  0.9815
 32 -0.4160  0.7767
 33 -0.0291  0.9943
 34 -0.0804  0.9873
 35  0.0541  0.9924
 36 -0.0414  0.9733
 37 -0.0954  0.9870
 38  0.2048  0.9785
 39 -0.0365  0.8034
 40  0.2741  0.9438
