 !*  File produced by Maryam				
 !*  Created on 2020_9_18				
 !*  doi: 10.17182/hepdata.22177.v1/t5
&Data 
  Name = "SLD c_{tagged}" 
  Reaction = "NC SIA ct"

  TermName = 'R'
  TermSource = 'use:hf_scheme_DISNC'
  TermInfo = 'flavObs=inclCH:echarge=1:epolarity=0'
  TheorExpr = 'R'

  NData =    40
  NColumn =  6
  ColumnType = 3*"Bin","Sigma", 2*"Error" 
  ColumnName = "x", "Q2","y","Sigma", "stat","sys_{SLD_C_ov}"
  NInfo =  1
  CInfo = "sqrt(S)"
  DataInfo =     0.912E+02
  IndexDataset =   115
  Percent = false
!*  FKObservable = "SIA_NORM_XSEC_CH"
&End 

&PlotDesc
   PlotN = 1
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 8000,9000
   PlotOptions(1)  = 'Experiment:SLD_c_tag@ExtraLabel:e^{+}e^{-} #rightarrow  #gamma/Z #rightarrow #pi^{#pm}X @XTitle: Z @YTitle: 1/#sigma d#sigma/dz @Title:Q^{2} = 8332.0384 @Xlog@Ylog@YminR:-2@YmaxR:4 @Ymin:0.000005@Ymax:1200 '
 
&End
*z=Eh/Eb	Q2	1/sig dsig/dz	error +	         sys Overall normalization error +
0.007279147	8332.0384	0.1	469.2843844	29.33716715	4.692843844
0.009320192	8332.0384	0.1	466.5391518	24.57141503	4.665391518
0.011324133	8332.0384	0.1	471.4579207	20.7782248	4.714579207
0.013454961	8332.0384	0.1	420.2877914	17.66605575	4.202877914
0.015604998	8332.0384	0.1	380.2315967	14.89104429	3.802315967
0.01934518	8332.0384	0.1	310.3331443	11.0399193	3.103331443
0.024790845	8332.0384	0.1	236.4200061	8.062063293	2.364200061
0.030256173	8332.0384	0.1	198.4242014	6.232168432	1.984242014
0.035732142	8332.0384	0.1	156.3783072	6.022271136	1.563783072
0.041214512	8332.0384	0.1	132.869168	4.311980546	1.32869168
0.046601244	8332.0384	0.1	109.5379787	3.507620544	1.095379787
0.052190382	8332.0384	0.1	93.06116106	2.905030862	0.9306116106
0.057681765	8332.0384	0.1	77.67009842	2.483520424	0.7767009842
0.063074765	8332.0384	0.1	68.31097166	2.172575238	0.6831097166
0.068568768	8332.0384	0.1	60.12029519	1.971977714	0.6012029519
0.074063662	8332.0384	0.1	51.80452874	1.81155713	0.5180452874
0.079559261	8332.0384	0.1	45.31375256	1.671244849	0.4531375256
0.085055429	8332.0384	0.1	40.06611025	1.551010761	0.4006611025
0.093150609	8332.0384	0.1	33.51821058	1.120608831	0.3351821058
0.104045307	8332.0384	0.1	27.46195852	0.990431291	0.2746195852
0.115040975	8332.0384	0.1	22.92816654	0.870309986	0.2292816654
0.131035972	8332.0384	0.1	18.73514318	0.630172995	0.1873514318
0.153030801	8332.0384	0.1	13.722762	0.500100656	0.13722762
0.175026929	8332.0384	0.1	10.18156652	0.410063091	0.1018156652
0.197023922	8332.0384	0.1	7.530914392	0.340041287	0.0753091439
0.218921529	8332.0384	0.1	5.760566508	0.290028522	0.0576056651
0.241019555	8332.0384	0.1	4.381355482	0.235019068	0.0438135548
0.262917926	8332.0384	0.1	3.358228971	0.202013774	0.0335822897
0.284916542	8332.0384	0.1	2.487144402	0.171009929	0.024871444
0.306815361	8332.0384	0.1	1.947097486	0.14800741	0.0194709749
0.333814119	8332.0384	0.1	1.436060739	0.108004568	0.0143606074
0.366612856	8332.0384	0.1	0.81702865	0.087003051	0.0081702865
0.399711791	8332.0384	0.1	0.614018113	0.074002183	0.0061401811
0.432510897	8332.0384	0.1	0.386009725	0.063001587	0.0038600973
0.465110133	8332.0384	0.1	0.429009347	0.061001329	0.0042900935
0.50350936	8332.0384	0.1	0.20600383	0.043000799	0.0020600383
0.547008616	8332.0384	0.1	0.142002237	0.037000583	0.0014200224
0.608307748	8332.0384	0.1	0.066000841	0.021000267	0.0006600084
0.704706688	8332.0384	0.1	0.003000028	0.010000095	3.00E-05
0.838305622	8332.0384	0.1	0.00300002	0.00600004	3.00E-05
