* info from hepdata:                     
*REACtion       = muon Ca --> muon X / muon C --> muon X
*Plab           = 90 GeV                                   
*Experiment  = NMC-95 re.                   
*REFerence      = Nucl.Phys. B441 (1995) 3-11
*e-Print	= hep-ph/9503291
*Additional info: A Reevaluation of the nuclear structure function ratios for D, He, Li-6, C and Ca.
*
*
*
&Data
	 Name = 'NMC-95,re. Ca/C DIS'

	 Reaction = 'NC e+-p'

         NDATA = 10

         NColumn = 15
	 ColumnType = 'Bin',2*'Dummy','Bin',2*'Dummy','Bin',2*'Dummy','Sigma',5*'Error'
	 ColumnName = 'x','ignore', 'ignore','Q2','ignore','ignore','y','ignore','ignore','reduced x-section','stat','ignore','uncor','ignore', 'cor norm'

         Percent = 4*False, 1*True
         
         NInfo 	  = 8
         DataInfo = -1.,	    1.,        0.,	40.0, 20.0, 12.0, 6.0, 1.
	 CInfo 	  = 'e charge',	'reduced', 'e polarity', 'A1', 'Z1', 'A2', 'Z2', 'ratio'
	 IndexDataset = 109
&End
*0.0085	0.0085	0.0085	0.8	0.8	0.8	0.57	0.57	0.57	0.941	0.009	-0.009	0.023	-0.023	0.5
*0.0113	0.0113	0.0113	1.1	1.1	1.1	0.59	0.59	0.59	0.923	0.009	-0.009	0.015	-0.015	0.5
*0.0138	0.0138	0.0138	1.2	1.2	1.2	0.53	0.53	0.53	0.939	0.01	-0.01	0.011	-0.011	0.5
*0.0163	0.0163	0.0163	1.4	1.4	1.4	0.52	0.52	0.52	0.955	0.01	-0.01	0.008	-0.008	0.5
*0.0188	0.0188	0.0188	1.6	1.6	1.6	0.52	0.52	0.52	0.972	0.01	-0.01	0.007	-0.007	0.5
*0.0225	0.0225	0.0225	1.8	1.8	1.8	0.49	0.49	0.49	0.965	0.008	-0.008	0.005	-0.005	0.5
*0.0275	0.0275	0.0275	2	2	2	0.44	0.44	0.44	0.972	0.008	-0.008	0.003	-0.003	0.5
*0.0325	0.0325	0.0325	2.2	2.2	2.2	0.41	0.41	0.41	0.991	0.009	-0.009	0.003	-0.003	0.5
*0.0375	0.0375	0.0375	2.3	2.3	2.3	0.37	0.37	0.37	1.003	0.009	-0.009	0.002	-0.002	0.5
*0.0425	0.0425	0.0425	2.4	2.4	2.4	0.34	0.34	0.34	0.975	0.009	-0.009	0.002	-0.002	0.5
*0.0475	0.0475	0.0475	2.6	2.6	2.6	0.33	0.33	0.33	0.97	0.01	-0.01	0.002	-0.002	0.5
*0.0525	0.0525	0.0525	2.7	2.7	2.7	0.31	0.31	0.31	0.993	0.01	-0.01	0.002	-0.002	0.5
*0.0575	0.0575	0.0575	2.8	2.8	2.8	0.29	0.29	0.29	0.992	0.011	-0.011	0.002	-0.002	0.5
*0.065	0.065	0.065	3	3	3	0.28	0.28	0.28	1.007	0.008	-0.008	0.002	-0.002	0.5
*0.075	0.075	0.075	3.3	3.3	3.3	0.27	0.27	0.27	0.995	0.009	-0.009	0.002	-0.002	0.5
0.085	0.085	0.085	3.6	3.6	3.6	0.26	0.26	0.26	1.009	0.01	-0.01	0.002	-0.002	0.5
0.095	0.095	0.095	3.9	3.9	3.9	0.25	0.25	0.25	1.001	0.011	-0.011	0.002	-0.002	0.5
0.113	0.113	0.113	4.3	4.3	4.3	0.23	0.23	0.23	0.994	0.008	-0.008	0.002	-0.002	0.5
0.138	0.138	0.138	5.1	5.1	5.1	0.22	0.22	0.22	1.007	0.01	-0.01	0.002	-0.002	0.5
0.175	0.175	0.175	6.2	6.2	6.2	0.22	0.22	0.22	1.001	0.009	-0.009	0.002	-0.002	0.5
0.225	0.225	0.225	7.7	7.7	7.7	0.21	0.21	0.21	1.015	0.012	-0.012	0.002	-0.002	0.5
0.275	0.275	0.275	9.1	9.1	9.1	0.2	0.2	0.2	0.998	0.016	-0.016	0.002	-0.002	0.5
0.35	0.35	0.35	11	11	11	0.19	0.19	0.19	0.996	0.017	-0.017	0.002	-0.002	0.5
0.45	0.45	0.45	14	14	14	0.18	0.18	0.18	1.024	0.029	-0.029	0.002	-0.002	0.5
0.6	0.6	0.6	17	17	17	0.17	0.17	0.17	0.955	0.036	-0.036	0.002	-0.002	0.5
