* info from hepdata:                     
*REACtion       = muon Ca --> muon X / muon Li --> muon X
*Plab           = 90 GeV                                   
*Experiment  = NMC-95                   
*REFerence      = Nucl.Phys. B441 (1995) 3-11
*e-Print	= hep-ph/9503291
*Additional info: A Reevaluation of the nuclear structure function ratios for D, He, Li-6, C and Ca.
*
*
*
&Data
	 Name = 'NMC-95, re. Ca/Li DIS'

	 Reaction = 'NC e+-p'

         NDATA = 10

         NColumn = 15
	 ColumnType = 'Bin',2*'Dummy','Bin',2*'Dummy','Bin',2*'Dummy','Sigma',5*'Error'
	 ColumnName = 'x','ignore', 'ignore','Q2','ignore','ignore','y','ignore','ignore','reduced x-section','stat','ignore','uncor','ignore','cor norm'
	 
	 Percent = 4*False, 1*True
 
         NInfo 	  = 8
         DataInfo = -1.,	    1.,        0.,	40.078, 20.0, 6.941, 3.0, 1.0
	 CInfo 	  = 'e charge',	'reduced', 'e polarity', 'A1', 'Z1', 'A2', 'Z2', 'ratio'
	 IndexDataset = 108
&End
*x	xlow	xhigh	x2	x2low	x2high	x3	x3low	x3high	y	dy+	dy-	dy+	dy-	
*0.0085	0.0085	0.0085	0.8	0.8	0.8	0.57	0.57	0.57	0.856	+0.008	-0.008	+0.022	-0.022  0.8
*0.0113	0.0113	0.0113	1.1	1.1	1.1	0.59	0.59	0.59	0.882	+0.009	-0.009	+0.017	-0.017  0.8
*0.0138	0.0138	0.0138	1.2	1.2	1.2	0.53	0.53	0.53	0.908	+0.009	-0.009	+0.013	-0.013  0.8
*0.0163	0.0163	0.0163	1.4	1.4	1.4	0.52	0.52	0.52	0.911	+0.01	-0.01	+0.01	-0.01  0.8
*0.0188	0.0188	0.0188	1.6	1.6	1.6	0.52	0.52	0.52	0.962	+0.01	-0.01	+0.008	-0.008  0.8
*0.0225	0.0225	0.0225	1.8	1.8	1.8	0.49	0.49	0.49	0.939	+0.007	-0.007	+0.006	-0.006  0.8
*0.0275	0.0275	0.0275	2.0	2.0	2.0	0.44	0.44	0.44	0.937	+0.008	-0.008	+0.004	-0.004  0.8
*0.0325	0.0325	0.0325	2.2	2.2	2.2	0.41	0.41	0.41	0.965	+0.009	-0.009	+0.003	-0.003  0.8
*0.0375	0.0375	0.0375	2.3	2.3	2.3	0.37	0.37	0.37	0.981	+0.009	-0.009	+0.002	-0.002  0.8
*0.0425	0.0425	0.0425	2.4	2.4	2.4	0.34	0.34	0.34	0.975	+0.01	-0.01	+0.002	-0.002  0.8
*0.0475	0.0475	0.0475	2.6	2.6	2.6	0.33	0.33	0.33	0.967	+0.01	-0.01	+0.002	-0.002  0.8
*0.0525	0.0525	0.0525	2.7	2.7	2.7	0.31	0.31	0.31	1.012	+0.011	-0.011	+0.002	-0.002  0.8
*0.0575	0.0575	0.0575	2.8	2.8	2.8	0.29	0.29	0.29	1.013	+0.011	-0.011	+0.002	-0.002  0.8
*0.065	0.065	0.065	3.0	3.0	3.0	0.28	0.28	0.28	1.006	+0.008	-0.008	+0.002	-0.002  0.8
*0.075	0.075	0.075	3.3	3.3	3.3	0.27	0.27	0.27	1.008	+0.009	-0.009	+0.002	-0.002  0.8
0.085	0.085	0.085	3.6	3.6	3.6	0.26	0.26	0.26	1.012	+0.01	-0.01	+0.002	-0.002  0.8
0.095	0.095	0.095	3.9	3.9	3.9	0.25	0.25	0.25	1.01	+0.011	-0.011	+0.002	-0.002  0.8
0.113	0.113	0.113	4.3	4.3	4.3	0.23	0.23	0.23	1.02	+0.008	-0.008	+0.002	-0.002  0.8
0.138	0.138	0.138	5.1	5.1	5.1	0.22	0.22	0.22	1.017	+0.01	-0.01	+0.002	-0.002  0.8
0.175	0.175	0.175	6.2	6.2	6.2	0.22	0.22	0.22	1.018	+0.009	-0.009	+0.002	-0.002  0.8
0.225	0.225	0.225	7.7	7.7	7.7	0.21	0.21	0.21	1.017	+0.013	-0.013	+0.002	-0.002  0.8
0.275	0.275	0.275	9.1	9.1	9.1	0.2	0.2	0.2	0.998	+0.016	-0.016	+0.002	-0.002  0.8
0.35	0.35	0.35	11.0	11.0	11.0	0.19	0.19	0.19	0.983	+0.017	-0.017	+0.002	-0.002  0.8
0.45	0.45	0.45	14.0	14.0	14.0	0.18	0.18	0.18	0.988	+0.028	-0.028	+0.002	-0.002  0.8
0.6	0.6	0.6	17.0	17.0	17.0	0.17	0.17	0.17	0.966	+0.038	-0.038	+0.004	-0.004  0.8
