* info from hepdata:                     
*REACtion       = muon Pb --> muon X / muon C --> muon X
*Plab           = 200 GeV                                   
*Experiment  = NMC-96                   
*REFerence      = Nucl.Phys. B481 (1996) 3-22
*Additional info: The A dependence of the nuclear structure function ratios.
*
*
*
&Data
	 Name = 'NMC-96 Pb/C DIS'

	 Reaction = 'NC e+-p'

         NDATA = 14

         NColumn = 21
	 ColumnType = 'Bin',2*'Dummy','Bin',2*'Dummy','Bin',2*'Dummy','Sigma', 'Dummy', 5*'Error',5*'Dummy'
     ColumnName = 'x','ignore', 'ignore','Q2','ignore','ignore','y','ignore','ignore','reduced x-section', 'ignore','stat','ignore','uncor','ignore','cor norm','ignore','ignore','ignore','ignore','ignore'
	 
	 Percent = 5*False
 
         NInfo 	  = 9
         DataInfo = -1.,	    1.,        0.,	208.0, 82.0, 12.0, 6.0, 1.0, 1.0
	 CInfo 	  = 'e charge',	'reduced', 'e polarity', 'A1', 'Z1', 'A2', 'Z2', 'ratio', 'NMC'
	 IndexDataset = 114
&End
*x	xlow	xhigh	Q2	x2low	x2high	x3	x3low	x3high	sigma	sigma not isocorrected	dy+	dy-	dy+	dy-		A(x)	B(x)	F2n/F2p	betta1	betta2
0.0175	0.0175	0.0175	4.5	4.5	4.5	0.69	0.69	0.69	0.921	0.916	0.031	-0.031	0.03	-0.03	0.002	0.950223754666992	-0.002917775	0.954433389174428	1.00495635490056	1
0.025	0.025	0.025	6.1	6.1	6.1	0.66	0.66	0.66	0.938	0.932	0.018	-0.018	0.017	-0.017	0.002	0.938381935546875	-0.0041225	0.943083415676452	1.00623499548335	1
0.035	0.035	0.035	8	8	8	0.62	0.62	0.62	0.962	0.954	0.016	-0.016	0.012	-0.012	0.002	0.923026019546875	-0.0056861	0.927989722938557	1.0079638683737	1
0.045	0.045	0.045	9.8	9.8	9.8	0.59	0.59	0.59	0.982	0.973	0.017	-0.017	0.012	-0.012	0.002	0.908143512296875	-0.0072009	0.913009048991185	1.00971279574462	1
0.055	0.055	0.055	11.6	11.6	11.6	0.57	0.57	0.57	1.014	1.002	0.017	-0.017	0.011	-0.011	0.002	0.893711487796875	-0.0086669	0.898174922311499	1.01147794869911	1
0.07	0.07	0.07	13.9	13.9	13.9	0.54	0.54	0.54	1.028	1.014	0.013	-0.013	0.011	-0.011	0.002	0.87285977175	-0.0107744	0.876597175161681	1.01410675290543	1
0.09	0.09	0.09	16.9	16.9	16.9	0.51	0.51	0.51	1.01	0.993	0.014	-0.014	0.01	-0.01	0.002	0.84643327375	-0.0134136	0.848754217524294	1.01761063739514	1
0.125	0.125	0.125	21.4	21.4	21.4	0.47	0.47	0.47	1.014	0.991	0.011	-0.011	0.008	-0.008	0.002	0.803530029296875	-0.0175625	0.803161790601279	1.02363798453909	1
0.175	0.175	0.175	27.5	27.5	27.5	0.43	0.43	0.43	1.021	0.989	0.013	-0.013	0.01	-0.01	0.002	0.748327154296875	-0.0224525	0.743823063551296	1.03207283112555	1
0.25	0.25	0.25	35.5	35.5	35.5	0.39	0.39	0.39	0.996	0.954	0.012	-0.012	0.01	-0.01	0.002	0.67543359375	-0.0275	0.666029756873647	1.04428252439418	1
0.35	0.35	0.35	45.3	45.3	45.3	0.35	0.35	0.35	0.973	0.918	0.021	-0.021	0.015	-0.015	0.002	0.59065684375	-0.02996	0.577923332341263	1.05997795026086	1
0.45	0.45	0.45	53.6	53.6	53.6	0.32	0.32	0.32	0.97	0.903	0.036	-0.036	0.024	-0.024	0.002	0.51706459375	-0.02754	0.505116592139237	1.07475339421829	1
0.55	0.55	0.55	60	60	60	0.3	0.3	0.3	0.894	0.822	0.057	-0.057	0.041	-0.041	0.002	0.45829884375	-0.02024	0.450480394149258	1.08712442477767	1
0.7	0.7	0.7	66.1	66.1	66.1	0.26	0.26	0.26	0.81	0.741	0.069	-0.069	0.088	-0.088	0.002	0.4240785	-0.00014	0.427150704014609	1.09278893219496	1
*0.0125	0.0125	0.0125	3.4	3.4	3.4	0.73	0.73	0.73	0.889	0.885	0.046	-0.046	0.05	-0.05	0.002	0.958278682495117	-0.002099375	0.961894322439039	1.00412564140304	1
