* info from hepdata:                     
*REACtion       = muon Sn --> muon X / muon C --> muon X
*Plab           = 200 GeV                                   
*Experiment  =      NMC-96                   
*REFerence      = Nucl.Phys. B481 (1996) 23-39, 1996 
*DOI = https://doi.org/10.17182/hepdata.32717 
*Additional info:   The Q**2 dependence of the structure function ratio F2 Sn / F2 C 
*                   and the difference R Sn - R C in deep inelastic muon scattering 
*
*
*
&Data
	 Name = 'NMC-96 Sn/C DIS, Q^2 dependence, F2'

	 Reaction = 'NC e+-p F2'

         NDATA = 120

         NColumn = 10
	 ColumnType = 'Bin','Bin',2*'Dummy','Sigma',5*'Error'
	 ColumnName = 'x', 'Q2','ignore','ignore', 'reduced x-section','stat','ignore','uncor','ignore','cor norm'
	 
	 Percent = 5*False
 
         NInfo 	  = 10
         DataInfo = -1.,	    1.,        0.,	119., 50.0, 12.01, 6.0, 1., 1.0, 200.0
	 CInfo 	  = 'e charge',	'reduced', 'e polarity', 'A1', 'Z1', 'A2', 'Z2', 'ratio', 'NMC', 'sqrt(S)'
	 IndexDataset = 113
&End
*x	Q2   Q2low	Q3xhigh	x2	x2low	x2high	x3	x3low	x3high	y	dy+	dy-	dy+	dy-	
0.0125	3.5	3.5	3.5	0.890	0.015	-0.015	0.042	-0.042	0.002
0.0175	3.5	3.5	3.5	0.945	0.014	-0.014	0.027	-0.027	0.002
0.025	3.5	3.5	3.5	0.961	0.009	-0.009	0.013	-0.013	0.002
0.035	3.5	3.5	3.5	0.972	0.011	-0.011	0.006	-0.006	0.002
0.045	3.5	3.5	3.5	0.973	0.014	-0.014	0.022	-0.022	0.002
0.055	3.5	3.5	3.5	1.018	0.017	-0.017	0.008	-0.008	0.002
0.07	3.5	3.5	3.5	1.013	0.015	-0.015	0.011	-0.011	0.002
0.09	3.5	3.5	3.5	1.000	0.020	-0.020	0.020	-0.020	0.002
0.125	3.5	3.5	3.5	0.997	0.016	-0.016	0.011	-0.011	0.002
0.175	3.5	3.5	3.5	0.960	0.050	-0.050	0.030	-0.030	0.002
0.0125	4.5	4.5	4.5	0.902	0.013	-0.013	0.048	-0.048	0.002
0.0175	4.5	4.5	4.5	0.931	0.014	-0.014	0.028	-0.028	0.002
0.025	4.5	4.5	4.5	0.949	0.010	-0.010	0.013	-0.013	0.002
0.035	4.5	4.5	4.5	0.971	0.011	-0.011	0.009	-0.009	0.002
0.045	4.5	4.5	4.5	1.000	0.013	-0.013	0.016	-0.016	0.002
0.055	4.5	4.5	4.5	1.015	0.016	-0.016	0.028	-0.028	0.002
0.07	4.5	4.5	4.5	1.020	0.014	-0.014	0.009	-0.009	0.002
0.09	4.5	4.5	4.5	0.990	0.020	-0.020	0.040	-0.040	0.002
0.125	4.5	4.5	4.5	1.003	0.014	-0.014	0.024	-0.024	0.002
0.175	4.5	4.5	4.5	0.960	0.020	-0.020	0.040	-0.040	0.002
0.0125	5.5	5.5	5.5	0.925	0.019	-0.019	0.056	-0.056	0.002
0.0175	5.5	5.5	5.5	0.920	0.013	-0.013	0.033	-0.033	0.002
0.025	5.5	5.5	5.5	0.961	0.012	-0.012	0.014	-0.014	0.002
0.035	5.5	5.5	5.5	0.963	0.011	-0.011	0.013	-0.013	0.002
0.045	5.5	5.5	5.5	0.979	0.012	-0.012	0.004	-0.004	0.002
0.055	5.5	5.5	5.5	1.006	0.015	-0.015	0.007	-0.007	0.002
0.07	5.5	5.5	5.5	0.992	0.013	-0.013	0.010	-0.010	0.002
0.09	5.5	5.5	5.5	1.007	0.016	-0.016	0.013	-0.013	0.002
0.125	5.5	5.5	5.5	1.028	0.014	-0.014	0.020	-0.020	0.002
