 !*  File produced by Hamed
 !*  Created on 20201215  (data/(1000000)
!*doi:  10.1103/PhysRevD.101.092004
&Data 
  Name = "BELLE2020" 
  Reaction = "NC SIA NF4"

  TermName = 'R'
  TermSource = 'NC_SIA'
  TermInfo = 'flavObs=inclNF4:echarge=1:epolarity=0'
  TheorExpr = 'R' 


  NData =    36
  NColumn =  5
  ColumnType = 3*"Bin","Sigma", "Error"
  ColumnName = "x", "Q2","y","Sigma", "stat"
  NInfo =  1
  CInfo = "sqrt(S)"
  DataInfo =     0.1058E+02
  IndexDataset =   221
  Percent = false
!*  FKObservable = "SIA_Norm_NF4"
&End 

&PlotDesc
   PlotN = 1
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 100,200
   PlotOptions(1)  = 'Experiment:BELLE20@ExtraLabel:e^{+}e^{-} #rightarrow  #gamma/Z #rightarrow #pi^{#pm}X @XTitle: Z @YTitle:  d#sigma/dz @Title:Q^{2} = 111.9364 @Ylog @Ymin:0.01 @Ymax:120'
 
&End
*z=Eh/Eb  Q2	    1/sig dsig/dz   stat	     cor	    uncor	    
0.1125	111.9364	0.1	100.7	4.48402547807269
0.1375	111.9364	0.1	67.23	1.34050374754605
0.1625	111.9364	0.1	49.3	0.958968280022337
0.1875	111.9364	0.1	36.69	0.874993283492508
0.2125	111.9364	0.1	27.84	0.617570838414509
0.2375	111.9364	0.1	21.4	0.417201433972847
0.2625	111.9364	0.1	16.75	0.253588034138048
0.2875	111.9364	0.1	13.29	0.192983764804193
0.3125	111.9364	0.1	10.69	0.152659266046971
0.3375	111.9364	0.1	8.702	0.122120693569927
0.3625	111.9364	0.1	7.128	0.09700258364085
0.3875	111.9364	0.1	5.825	0.079739381656745
0.4125	111.9364	0.1	4.705	0.065621303073011
0.4375	111.9364	0.1	3.834	0.05529603842953
0.4625	111.9364	0.1	3.129	0.047972273638009
0.4875	111.9364	0.1	2.569	0.039447825225226
0.5125	111.9364	0.1	2.117	0.034172298210685
0.5375	111.9364	0.1	1.745	0.027792053198711
0.5625	111.9364	0.1	1.442	0.023409530623231
0.5875	111.9364	0.1	1.191	0.018908712568549
0.6125	111.9364	0.1	0.9868	0.016400846929351
0.6375	111.9364	0.1	0.8202	0.013279510608452
0.6625	111.9364	0.1	0.6795	0.011141085808843
0.6875	111.9364	0.1	0.5639	0.00909305658181
0.7125	111.9364	0.1	0.4679	0.007471283356961
0.7375	111.9364	0.1	0.3863	0.006607928419709
0.7625	111.9364	0.1	0.3156	0.004942574632719
0.7875	111.9364	0.1	0.2548	0.003776764091124
0.8125	111.9364	0.1	0.203	0.003285176707576
0.8375	111.9364	0.1	0.1573	0.002900904169393
0.8625	111.9364	0.1	0.1187	0.00230268582312
0.8875	111.9364	0.1	0.08551	0.001688395984359
0.9125	111.9364	0.1	0.05778	0.001130207945468
0.9375	111.9364	0.1	0.03587	0.001187383678513
0.9625	111.9364	0.1	0.0192	0.000966686091759
0.9875	111.9364	0.1	0.01455	0.001700083233257
