* info from hepdata:                     
*REACtion       = muon Ca --> muon X / muon nucleon --> muon X
*Plab           = 200 GeV                                   
*Experiment  = EMC-90               
*REFerence      = Nucl.Phys. B333 (1990) 1-47
*Additional info: Measurements of the nucleon structure function in the range 0.002−GeV2<x<0.17−GeV2 and 0.2−GeV2<q2<8−GeV2 
*                 in Calcium, carbon and calcium.
*
*
&Data
	 Name = 'EMC-90 Calcium DIS'

     Reaction = 'NC e+-p F2'

         NDATA = 19

         NColumn = 8
	 ColumnType = 'Bin','Bin','Sigma',5*'Error'
	 ColumnName = 'x','Q2','reduced x-section','stat','ignore','uncor','ignore','cor norm'
	 
	 Percent = 4*False,1*True
 
         NInfo 	  = 8
         DataInfo = -1.,	    1.,        0.,	40.078, 20.0,  0.0, 22.938, 1.0
	 CInfo 	  = 'e charge',	'reduced', 'e polarity', 'A1', 'Z1', 'ratio', 'sqrt(S)', 'EMC'
	 IndexDataset = 503
&End
*
*x	Q2	F2	Error	Error	Error	Error	additional	normalization
*0.0105	2	0.245	0.018	-0.018	0.018	-0.018	8	
*0.015	2	0.246	0.014	-0.014	0.016	-0.016	8	
*0.024	2	0.269	0.013	-0.013	0.017	-0.017	8	
*0.04	2	0.281	0.013	-0.013	0.016	-0.016	8	
*0.06	2	0.32	0.014	-0.014	0.018	-0.018	8	
*0.09	2	0.292	0.012	-0.012	0.022	-0.022	8	
*0.0105	2.8	0.481	0.136	-0.136	0.075	-0.075	8	
*0.015	2.8	0.279	0.022	-0.022	0.02	-0.02	8	
*0.024	2.8	0.319	0.02	-0.02	0.021	-0.021	8	
*0.04	2.8	0.332	0.02	-0.02	0.019	-0.019	8	
*0.06	2.8	0.332	0.022	-0.022	0.019	-0.019	8	
*0.09	2.8	0.311	0.017	-0.017	0.023	-0.023	8	
*0.14	2.8	0.326	0.023	-0.023	0.019	-0.019	8	
0.015	3.6	0.327	0.063	-0.063	0.038	-0.038	8	
0.024	3.6	0.286	0.024	-0.024	0.021	-0.021	8	
0.04	3.6	0.336	0.026	-0.026	0.024	-0.024	8	
0.06	3.6	0.292	0.027	-0.027	0.017	-0.017	8	
0.09	3.6	0.327	0.024	-0.024	0.024	-0.024	8	
0.14	3.6	0.324	0.023	-0.023	0.024	-0.024	8	
0.024	4.4	0.36	0.039	-0.039	0.032	-0.032	8	
0.04	4.4	0.354	0.032	-0.032	0.029	-0.029	8	
0.06	4.4	0.403	0.043	-0.043	0.029	-0.029	8	
0.09	4.4	0.325	0.031	-0.031	0.038	-0.038	8	
0.14	4.4	0.31	0.027	-0.027	0.031	-0.031	8	
0.04	5.6	0.439	0.039	-0.039	0.052	-0.052	8	
0.06	5.6	0.375	0.038	-0.038	0.037	-0.037	8	
0.09	5.6	0.292	0.027	-0.027	0.045	-0.045	8	
0.14	5.6	0.412	0.031	-0.031	0.048	-0.048	8	
0.04	7.2	0.431	0.116	-0.116	0.088	-0.088	8	
0.06	7.2	0.294	0.076	-0.076	0.046	-0.046	8	
0.09	7.2	0.41	0.063	-0.063	0.084	-0.084	8	
0.14	7.2	0.332	0.053	-0.053	0.052	-0.052	8	
